id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
28,Louisa May Alcott,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 22:08:13.91327,
29,Marjorie Benton Cooke,1876,1920,United States,,"American monologist, playwright, novelist (1876-1920). Occupations: suffragist, writer",Q18911708,2025-06-17 03:44:44.513472,2025-06-17 16:37:07.703851,
30,Elinor Chipp,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 03:44:44.513472,
31,Pearl Doles Bell,1883,1968,United States,,"American writer (1883-1968). Born in St. Joseph. Occupations: screenwriter, novelist",Q62901711,2025-06-17 03:44:44.513472,2025-06-17 16:37:09.223955,
32,Katharine Newlin Burt,1882,1977,United States,,"American novelist and film scenarist (1882-1977). Occupations: novelist, writer",Q47993548,2025-06-17 03:44:44.513472,2025-06-17 16:37:10.674164,
33,B. M. Bower,1871,1940,United States,,"American writer (1871–1940). Born in Cleveland. Died in Los Angeles. Occupations: screenwriter, novelist, teacher, writer. Notable works: Flying U",Q2899250,2025-06-17 03:44:44.513472,2025-06-17 16:37:12.122879,
34,Zona Gale,1874,1938,United States,,"American author and playwright. Born in Portage. Died in Chicago. Occupations: short story writer, suffragist, writer, playwright, novelist. Notable works: Miss Lulu Bett",Q219829,2025-06-17 03:44:44.513472,2025-06-17 16:37:13.528841,
35,Kate Langley Bosher,1865,1932,United States,,"American writer (1865–1932). Born in Norfolk. Died in Richmond. Occupations: suffragist, novelist, writer",Q6375592,2025-06-17 03:44:44.513472,2025-06-17 16:37:15.009637,
36,Anzia Yezierska,1880,1970,"United States, Poland",,"American writer (1880–1970). Born in Płońsk. Died in Ontario. Occupations: novelist, author, writer. Notable works: Hungry Hearts, Bread Givers",Q535396,2025-06-17 03:44:44.513472,2025-06-17 16:37:16.601812,
37,Caroline Abbot Stanley,1849,1919,United States,,"American author. Born in Callaway County. Died in Fulton. Occupations: novelist, writer",Q23419104,2025-06-17 03:44:44.513472,2025-06-17 16:37:18.115041,
38,Sophie Kerr,1880,1965,United States,,"American writer (1880–1965). Occupations: poet, novelist, writer",Q7563023,2025-06-17 03:44:44.513472,2025-06-17 16:37:19.550342,
39,Elizabeth Alexander,1962,,United States,,American composer. Born in Chester. Occupations: composer,Q18808501,2025-06-17 03:44:44.513472,2025-06-17 16:37:21.39204,
40,Edna Ferber,1885,1968,United States,,"American novelist, short story writer and playwright (1885–1968). Born in Kalamazoo. Occupations: journalist, short story writer, screenwriter, writer, playwright, novelist, poet. Notable works: Saratoga Trunk, Personality Plus, Show Boat, Cimarron, So Big",Q283496,2025-06-17 03:44:44.513472,2025-06-17 16:37:22.887241,
41,Evelyn Campbell,1874,1961,,,"American screenwriter. Occupations: Ziegfeld girl, screenwriter",Q60641805,2025-06-17 03:44:44.513472,2025-06-17 16:37:24.292868,
42,Willa Cather,1873,1947,United States,,"American writer (1873–1947). Born in Gore. Died in Manhattan. Occupations: novelist. Notable works: Sapphira and the Slave Girl, Alexander's Bridge, Death Comes for the Archbishop, Lucy Gayheart, My Mortal Enemy",Q229480,2025-06-17 03:44:44.513472,2025-06-17 16:37:25.838991,
43,Adela Rogers St. John,1894,1988,United States,,"American journalist, novelist, and screenwriter (1894-1988). Born in Los Angeles. Died in Arroyo Grande. Occupations: journalist, screenwriter, biographer, writer, essayist, novelist",Q353774,2025-06-17 03:44:44.513472,2025-06-17 16:37:27.314817,
44,Margaretta Tuttle,1875,1958,,,American writer. Occupations: writer,Q47035835,2025-06-17 03:44:44.513472,2025-06-17 16:37:28.728014,
45,Olive Higgins Prouty,1882,1974,United States,,"American writer (1882–1974). Born in Worcester. Died in Brookline. Occupations: poet, writer",Q1530966,2025-06-17 03:44:44.513472,2025-06-17 16:37:30.185201,
46,Elenore Meherin,1887,1963,United States,,"American writer. Born in San Francisco. Died in San Francisco. Occupations: journalist, novelist",Q110769674,2025-06-17 03:44:44.513472,2025-06-17 16:37:31.623451,
47,Temple Bailey,1880,1953,United States,,"American writer. Born in Petersburg. Occupations: screenwriter, novelist, writer",Q7698436,2025-06-17 03:44:44.513472,2025-06-18 01:58:43.848423,pseud of Irene Temple
