Title,Year,Directors,imdbID,Review
Mrs. Wiggs of the Cabbage Patch,1919,Hugh Ford,,AFI Catalog ID: 18124.0
The Amazing Wife,1919,Ida May Park,,AFI Catalog ID: 17309.0
The Avalanche,1919,George Fitzmaurice,,AFI Catalog ID: 17312.0
The Bramble Bush,1919,Tom Terriss,,AFI Catalog ID: 17338.0
The Day She Paid,1919,Rex Ingram,,AFI Catalog ID: 17313.0
The Heart of Youth,1919,Robert G. Vignola,,AFI Catalog ID: 17384.0
The Love Call,1919,Louis William Chaudet,,AFI Catalog ID: 17414.0
The Petal on the Current,1919,Tod Browning,,AFI Catalog ID: 17569.0
The Secret Garden,1919,G. Butler Clonebough,,AFI Catalog ID: 17586.0
The Wishing Ring Man,1919,David Smith,,AFI Catalog ID: 17494.0
Whitewashed Walls,1919,Park Frame,,AFI Catalog ID: 17548.0
Blackmail,1920,Dallas M. Fitzgerald,,AFI Catalog ID: 17643.0
Her Elephant Man,1920,Scott Dunlap,,AFI Catalog ID: 17818.0
Her Husband's Friend,1920,Fred Niblo,,AFI Catalog ID: 17820.0
Humoresque,1920,Frank Borzage,,AFI Catalog ID: 2080.0
Judy of Rogue's Harbor,1920,William D. Taylor,,AFI Catalog ID: 17625.0
Love's Harvest,1920,Howard M. Mitchell,,AFI Catalog ID: 17787.0
Mountain Madness,1920,Lloyd Carleton,,AFI Catalog ID: 17833.0
Old Dad,1920,Lloyd Ingraham,,AFI Catalog ID: 17846.0
Out of the Storm,1920,William Parke,,AFI Catalog ID: 17878.0
Passion's Playground,1920,J. A. Barry,,AFI Catalog ID: 17897.0
Pegeen,1920,David Smith,,AFI Catalog ID: 18020.0
Polly of the Storm Country,1920,Arthur H. Rosson,,AFI Catalog ID: 16086.0
Something Different,1920,R. William Neill,,AFI Catalog ID: 17867.0
The Amateur Wife,1920,Edward Dillon,,AFI Catalog ID: 17611.0
The Branding Iron,1920,Reginald Barker,,AFI Catalog ID: 17671.0
The Fighting Shepherdess,1920,Edward José,,AFI Catalog ID: 17738.0
The Forbidden Woman,1920,Harry Garson,,AFI Catalog ID: 15862.0
The Galloping Devil,1920,Nate Watt,,AFI Catalog ID: 17744.0
The Girl in the Web,1920,Robert Thornby,,AFI Catalog ID: 17763.0
The Little 'Fraid Lady,1920,John G. Adolfi,,AFI Catalog ID: 17780.0
The Palace of Darkened Windows,1920,Henry Kolker,,AFI Catalog ID: 17880.0
The Tiger's Coat,1920,Roy Clements,,AFI Catalog ID: 2370.0
What Happened to Rosa,1920,Victor Schertzinger,,AFI Catalog ID: 17962.0
You Never Can Tell,1920,Chester M. Franklin,,"AFI Catalog ID: 18144.0 | also based on the story ""Class"" by Bryan"
