Title,Year,Directors,imdbID,Review
Men Are Such Fools,1938,Busby Berkeley,,AFI Catalog ID: 6355.0
Rebecca of Sunnybrook Farm,1938,Allan Dwan,,AFI Catalog ID: 7593.0
Romance of the Limberlost,1938,William Nigh,,AFI Catalog ID: 5737.0
Woman Against Woman,1938,Robert B. Sinclair,,AFI Catalog ID: 5267.0
Four Wives,1939,Michael Curtiz,,AFI Catalog ID: 8206.0
Gone with the Wind,1939,"Victor Fleming, Sam Wood, George Cukor, Chester Franklin, James Fitzpatrick",,AFI Catalog ID: 1181.0
Good Girls Go to Paris,1939,Alexander Hall,,AFI Catalog ID: 4659.0
Honeymoon in Bali,1939,Edward H. Griffith,,AFI Catalog ID: 4646.0
In Name Only,1939,John Cromwell,,AFI Catalog ID: 5042.0
The Little Princess,1939,Walter Lang,,AFI Catalog ID: 4170.0
The Old Maid,1939,Edmund Goulding,,AFI Catalog ID: 5048.0
The Story of Vernon and Irene Castle,1939,H. C. Potter,,AFI Catalog ID: 4219.0 | also based on the nonfiction book My Memories of Vernon Castle by Irene Castle
Chip of the Flying U,1940,Ralph Staub,,AFI Catalog ID: 8358.0
Cross-Country Romance,1940,Frank Woodruff,,AFI Catalog ID: 5081.0
Her First Romance,1940,Edward Dmytryk,,AFI Catalog ID: 6083.0
Laddie,1940,Jack Hively,,AFI Catalog ID: 6148.0
Little Men,1940,Norman Z. McLeod,,AFI Catalog ID: 27085.0
Manhattan Heartbeat,1940,David Burton,,AFI Catalog ID: 7956.0
Back Street,1941,Robert Stevenson,,AFI Catalog ID: 26603.0
Cheers for Miss Bishop,1941,Tay Garnett,,AFI Catalog ID: 26645.0
Dumbo,1941,,,AFI Catalog ID: 26684.0
Four Mothers,1941,William Keighley,,AFI Catalog ID: 26706.0
Penny Serenade,1941,George Stevens,,AFI Catalog ID: 27033.0
Redhead,1941,Edward Cahn,,AFI Catalog ID: 26880.0
She Knew All the Answers,1941,Richard Wallace,,AFI Catalog ID: 26919.0
The Nurse's Secret,1941,Noel M. Smith,,AFI Catalog ID: 26846.0
The Perfect Snob,1941,Ray McCarey,,AFI Catalog ID: 26862.0
Are Husbands Necessary?,1942,Norman Taurog,,AFI Catalog ID: 27120.0
Freckles Comes Home,1942,Jean Yarbrough,,AFI Catalog ID: 27231.0
In This Our Life,1942,John Huston,,AFI Catalog ID: 27278.0
Meet the Stewarts,1942,Alfred E. Green,,AFI Catalog ID: 27344.0
Mrs. Wiggs of the Cabbage Patch,1942,Ralph Murphy,,AFI Catalog ID: 27361.0
"Now, Voyager",1942,Irving Rapper,,AFI Catalog ID: 27383.0
The Great Man's Lady,1942,William A. Wellman,,AFI Catalog ID: 27252.0
The Vanishing Virginian,1942,Frank Borzage,,AFI Catalog ID: 26975.0
Above Suspicion,1943,Richard Thorpe,,AFI Catalog ID: 24028.0
Assignment in Brittany,1943,Jack Conway,,AFI Catalog ID: 24011.0
Claudia,1943,Edmund Goulding,,AFI Catalog ID: 360.0
Madame Curie,1943,"Mervyn LeRoy, Albert Lewin",,AFI Catalog ID: 556.0
The Fallen Sparrow,1943,Richard Wallace,,AFI Catalog ID: 415.0
The Youngest Profession,1943,Edward Buzzell,,AFI Catalog ID: 814.0
Dark Waters,1944,Andre DeToth,,AFI Catalog ID: 2443.0
Dragon Seed,1944,"Jack Conway, Harold S. Bucquet",,AFI Catalog ID: 2198.0
Experiment Perilous,1944,Jacques Tourneur,,AFI Catalog ID: 1876.0
Government Girl,1944,Dudley Nichols,,AFI Catalog ID: 461.0
Janie,1944,Michael Curtiz,,AFI Catalog ID: 698.0
Ladies Courageous,1944,John Rawlins,,AFI Catalog ID: 24031.0
Laura,1944,Otto Preminger,,AFI Catalog ID: 24042.0
Marriage Is a Private Affair,1944,Robert Z. Leonard,,AFI Catalog ID: 24062.0
Meet Me in St. Louis,1944,Vincente Minnelli,,AFI Catalog ID: 24066.0
Pin Up Girl,1944,Bruce Humberstone,,AFI Catalog ID: 24124.0
The White Cliffs of Dover,1944,Clarence Brown,,AFI Catalog ID: 760.0
A Letter for Evie,1945,Jules Dassin,,AFI Catalog ID: 24482.0
A Tree Grows in Brooklyn,1945,Elia Kazan,,AFI Catalog ID: 24635.0
China Sky,1945,Ray Enright,,AFI Catalog ID: 24354.0
Having Wonderful Crime,1945,Eddie Sutherland,,AFI Catalog ID: 24438.0
Hotel Berlin,1945,Peter Godfrey,,AFI Catalog ID: 24450.0
Junior Miss,1945,George Seaton,,AFI Catalog ID: 24470.0
Saratoga Trunk,1945,Sam Wood,,AFI Catalog ID: 24565.0
The Girl of the Limberlost,1945,Melchor Ferrer,,AFI Catalog ID: 24427.0
The Great Flamarion,1945,Anthony Mann,,AFI Catalog ID: 24430.0
The Valley of Decision,1945,Tay Garnett,,AFI Catalog ID: 24645.0
Week-End at the Waldorf,1945,Robert Z. Leonard,,AFI Catalog ID: 24652.0
Avalanche,1946,Irving Allen,,AFI Catalog ID: 24680.0
Claudia and David,1946,Walter Lang,,AFI Catalog ID: 24725.0
Home Sweet Homicide,1946,Lloyd Bacon,,AFI Catalog ID: 24822.0
Humoresque,1946,Jean Negulesco,,AFI Catalog ID: 24826.0
The Yearling,1946,"Clarence Brown, Victor Fleming",,AFI Catalog ID: 25058.0
Tomorrow Is Forever,1946,Irving Pichel,,AFI Catalog ID: 25023.0
Without Reservations,1946,Mervyn LeRoy,,AFI Catalog ID: 25057.0
Young Widow,1946,Edwin L. Marin,,AFI Catalog ID: 25059.0
Cry Wolf,1947,Peter Godfrey,,AFI Catalog ID: 25127.0
Cynthia,1947,Robert Z. Leonard,,AFI Catalog ID: 25128.0
Keeper of the Bees,1947,John Sturges,,AFI Catalog ID: 25224.0
Ride the Pink Horse,1947,Robert Montgomery,,AFI Catalog ID: 25321.0
That Hagen Girl,1947,Peter Godfrey,,AFI Catalog ID: 25380.0
The Arnelo Affair,1947,Arch Oboler,,AFI Catalog ID: 25068.0
The Unsuspected,1947,Michael Curtiz,,AFI Catalog ID: 25409.0
Apartment for Peggy,1948,George Seaton,,AFI Catalog ID: 25445.0
Back Street,1948,Esther Eng,,
I Remember Mama,1948,George Stevens,,AFI Catalog ID: 25582.0
"I, Jane Doe",1948,John H. Auer,,AFI Catalog ID: 25580.0
Little Women,1948,Mervyn LeRoy,,AFI Catalog ID: 26003.0
Michael O'Halloran,1948,John Rawlins,,AFI Catalog ID: 25638.0
Mickey,1948,Ralph Murphy,,AFI Catalog ID: 25639.0
Sitting Pretty,1948,Walter Lang,,AFI Catalog ID: 25726.0
The Sainted Sisters,1948,William D. Russell,,AFI Catalog ID: 25709.0
A Woman's Secret,1949,Nicholas Ray,,AFI Catalog ID: 26181.0
An Old-Fashioned Girl,1949,Arthur Dreifuss,,AFI Catalog ID: 25666.0
Caught,1949,Max Opuls,,AFI Catalog ID: 25873.0
Challenge to Lassie,1949,Richard Thorpe,,AFI Catalog ID: 25875.0
"East Side, West Side",1949,Mervyn LeRoy,,AFI Catalog ID: 25909.0
"Once More, My Darling",1949,"Robert Montgomery, Michael Gordon",,AFI Catalog ID: 26044.0
Pinky,1949,Elia Kazan,,AFI Catalog ID: 25485.0
The Lucky Stiff,1949,Lewis R. Foster,,AFI Catalog ID: 26011.0
The Reckless Moment,1949,Max Opuls,,AFI Catalog ID: 26063.0
The Secret Garden,1949,Fred M. Wilcox,,AFI Catalog ID: 26095.0
The Sun Comes Up,1949,Richard Thorpe,,AFI Catalog ID: 26133.0
"Captain Carey, U.S.A.",1950,Mitchell Leisen,,AFI Catalog ID: 26254.0
Cheaper by the Dozen,1950,Walter Lang,,AFI Catalog ID: 26264.0
In a Lonely Place,1950,Nicholas Ray,,AFI Catalog ID: 26364.0
Mother Didn't Tell Me,1950,Claude Binyon,,AFI Catalog ID: 26414.0
Mrs. O'Malley and Mr. Malone,1950,Norman Taurog,,AFI Catalog ID: 26410.0
Panic in the Streets,1950,Elia Kazan,,AFI Catalog ID: 26448.0
Second Chance,1950,William Beaudine,,AFI Catalog ID: 26484.0
Stella,1950,Claude Binyon,,AFI Catalog ID: 26508.0
The Damned Don't Cry,1950,Vincent Sherman,,AFI Catalog ID: 26285.0
Three Came Home,1950,Jean Negulesco,,AFI Catalog ID: 26524.0
Woman on the Run,1950,Norman Foster,,AFI Catalog ID: 26573.0
Young Man with a Horn,1950,Michael Curtiz,,AFI Catalog ID: 26577.0
Fugitive Lady,1951,Sidney Salkow,,AFI Catalog ID: 50131.0
"Goodbye, My Fancy",1951,"Vincent Sherman, Frank Mattison",,AFI Catalog ID: 50123.0
Queen for a Day,1951,Arthur Lubin,,"AFI Catalog ID: 53421.0 | Also based on ""Horsie"" by Dorothy Parker and ""High Diver"" by John Ashworth"
Show Boat,1951,George Sidney,,AFI Catalog ID: 53541.0
Take Care of My Little Girl,1951,Jean Negulesco,,AFI Catalog ID: 50322.0
The Great Caruso,1951,Richard Thorpe,,AFI Catalog ID: 53618.0
Belles on Their Toes,1952,Henry Levin,,AFI Catalog ID: 50415.0
Don't Bother to Knock,1952,Roy Baker,,AFI Catalog ID: 50467.0
Lovely To Look At,1952,Mervyn LeRoy,,AFI Catalog ID: 50558.0
Talk About a Stranger,1952,David Bradley,,AFI Catalog ID: 50679.0
The Girl in White,1952,John Sturges,,AFI Catalog ID: 50491.0
The Magnificent Yankee,1952,,,AFI Catalog ID: 53929.0
The Member of the Wedding,1952,Fred Zinnemann,,AFI Catalog ID: 53458.0
About Mrs. Leslie,1953,Daniel Mann,,AFI Catalog ID: 51112.0
All I Desire,1953,Douglas Sirk,,AFI Catalog ID: 50742.0
Bright Road,1953,Gerald Mayer,,AFI Catalog ID: 53505.0
Gentlemen Prefer Blondes,1953,Howard Hawks,,AFI Catalog ID: 50847.0
So Big,1953,Robert Wise,,AFI Catalog ID: 53422.0
The Blue Gardenia,1953,Fritz Lang,,AFI Catalog ID: 50768.0
The Girl Who Had Everything,1953,Richard Thorpe,,AFI Catalog ID: 50850.0
The Sea Around Us,1953,Irwin Allen,,AFI Catalog ID: 51012.0
Her Twelve Men,1954,Robert Z. Leonard,,AFI Catalog ID: 51228.0
Jubilee Trail,1954,Joseph Inman Kane,,AFI Catalog ID: 51245.0
Naked Alibi,1954,Jerry Hopper,,AFI Catalog ID: 51282.0
Daddy Long Legs,1955,Jean Negulesco,,AFI Catalog ID: 51474.0
Gentlemen Marry Brunettes,1955,Richard Sale,,AFI Catalog ID: 51508.0
Lucy Gallant,1955,Robert Parrish,,AFI Catalog ID: 51572.0
Young at Heart,1955,Gordon Douglas,,AFI Catalog ID: 51415.0
Giant,1956,George Stevens,,AFI Catalog ID: 53655.0
Navy Wife,1956,Edward L. Bernds,,AFI Catalog ID: 51935.0
The Proud and Profane,1956,George Seaton,,AFI Catalog ID: 51960.0
There's Always Tomorrow,1956,Douglas Sirk,,AFI Catalog ID: 52032.0
Westward Ho the Wagons!,1956,William Beaudine,,AFI Catalog ID: 53534.0
Tammy and the Bachelor,1957,Joseph Pevney,,AFI Catalog ID: 52389.0
"Another Time, Another Place",1958,Lewis Allen,,AFI Catalog ID: 52464.0
China Doll,1958,Frank Borzage,,AFI Catalog ID: 52500.0
Home Before Dark,1958,Mervyn LeRoy,,AFI Catalog ID: 53579.0
Macabre,1958,William Castle,,AFI Catalog ID: 52650.0
"Too Much, Too Soon",1958,Art Napoleon,,AFI Catalog ID: 52776.0
Imitation of Life,1959,Douglas Sirk,,AFI Catalog ID: 53583.0
The Bat,1959,Crane Wilbur,,AFI Catalog ID: 52821.0
The Hanging Tree,1959,"Delmer Daves, Karl Malden, Vincent Sherman",,AFI Catalog ID: 53715.0
Cimarron,1960,Anthony Mann,,AFI Catalog ID: 53484.0
Freckles,1960,Andrew V. McLaglen,,AFI Catalog ID: 53149.0
I Passed for White,1960,Fred M. Wilcox,,AFI Catalog ID: 53403.0
Tess of the Storm Country,1960,Paul Guilfoyle,,AFI Catalog ID: 53310.0
Back Street,1961,David Miller,,AFI Catalog ID: 22474.0
Greyfriars Bobby,1961,Don Chaffey,,AFI Catalog ID: 23743.0
Satan Never Sleeps,1962,"Leo McCarey, Jack Cardiff",,AFI Catalog ID: 23339.0
The Big Wave,1962,Tad Danielewski,,AFI Catalog ID: 22672.0
