id,film_id,media_type,media_format,url,thumbnail_url,download_url,title,caption,description,source,source_id,source_url,license,license_url,attribution,copyright_holder,copyright_year,width,height,file_size,mime_type,quality_score,verified,verified_by,verified_at,display_order,is_featured,is_hidden,created_at,updated_at,metadata
4,1,other,image,https://upload.wikimedia.org/wikipedia/commons/d/de/Ramona_%281910%29.webm,https://upload.wikimedia.org/wikipedia/commons/d/de/Ramona_%281910%29.webm?width=300,,Ramona (1910).webm,American short silent drama film.,,wikimedia,File:Ramona (1910).webm,https://commons.wikimedia.org/wiki/File:Ramona (1910).webm,public_domain,,D. W. Griffith,D. W. Griffith,,480,360,75317673,video/webm,,false,,,999,false,false,2025-06-21 17:14:12.705275+00,2025-06-21 17:14:12.705275+00,"{""sha1"":""22d8610570b14675f9331e026b9aa3f312d6445c"",""upload_date"":""2015-12-31T17:01:01Z"",""commons_categories"":[""1910 films of the United States"",""American black-and-white films"",""Biograph Company films"",""Black and white videos"",""Mary Pickford in 1910"",""PD US expired"",""Ramona (novel)"",""Silent films videos"",""Video display resolution 480 x 360"",""Videos of 1910 from the United States"",""Videos of films by D. W. Griffith"",""Videos of films from 1910"",""Videos uploaded by Racconish"",""WebM videos""]}"
6,2,still,image,https://upload.wikimedia.org/wikipedia/commons/7/71/Uncle_Tom%27s_Cabin_TC2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Uncle_Tom%27s_Cabin_TC2.jpg/300px-Uncle_Tom%27s_Cabin_TC2.jpg,,Uncle Tom's Cabin TC2.jpg,Another film still from Uncle Tom's Cabin by the Thanhouser Company.,,wikimedia,File:Uncle Tom's Cabin TC2.jpg,https://commons.wikimedia.org/wiki/File:Uncle_Tom's_Cabin_TC2.jpg,public_domain,,Thanhouser Company (Life time: N/A),Thanhouser Company (Life time: N/A),,1809,1309,542432,image/jpeg,,false,,,999,false,false,2025-06-21 17:21:59.55979+00,2025-06-21 17:21:59.55979+00,"{""sha1"":""6b4d7cdda57de682cebf700020b4ef61c6b60e67"",""upload_date"":""2016-03-17T10:23:28Z"",""commons_categories"":[""PD-US missing SDC copyright status"",""PD US expired"",""Uncle Tom's Cabin (1910 Thanhouser film)""]}"
7,2,still,image,https://upload.wikimedia.org/wikipedia/commons/9/9c/Uncle_Tom%27s_Cabin_TC1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Uncle_Tom%27s_Cabin_TC1.jpg/300px-Uncle_Tom%27s_Cabin_TC1.jpg,,Uncle Tom's Cabin TC1.jpg,A film still from Uncle Tom's Cabin by the Thanhouser Company.,,wikimedia,File:Uncle Tom's Cabin TC1.jpg,https://commons.wikimedia.org/wiki/File:Uncle_Tom's_Cabin_TC1.jpg,public_domain,,Thanhouser Company (Life time: N/A),Thanhouser Company (Life time: N/A),,1053,715,194464,image/jpeg,,false,,,999,false,false,2025-06-21 17:21:59.900798+00,2025-06-21 17:21:59.900798+00,"{""sha1"":""59bac31b77047753932e0444401dc66f58ef77d7"",""upload_date"":""2016-03-17T10:22:25Z"",""commons_categories"":[""PD-US missing SDC copyright status"",""PD US expired"",""Uncle Tom's Cabin (1910 Thanhouser film)""]}"
10,3,other,video,https://upload.wikimedia.org/wikipedia/commons/e/e9/Uncle_Toms_Cabin_1910_Vitagraph.webm,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Uncle_Toms_Cabin_1910_Vitagraph.webm/300px-Uncle_Toms_Cabin_1910_Vitagraph.jpg,,Uncle Toms Cabin 1910 Vitagraph.webm,"Clip from Uncle Tom's Cabin (1910 Vitagraph film), featuring Matty Roubert in his debut at two years old",,wikimedia,File:Uncle Toms Cabin 1910 Vitagraph.webm,https://commons.wikimedia.org/wiki/File:Uncle_Toms_Cabin_1910_Vitagraph.webm,public_domain,,Vitagraph Studios,Vitagraph Studios,,1280,720,571842,video/webm,,false,,,999,false,false,2025-06-21 17:22:00.851792+00,2025-06-21 17:25:00.480338+00,"{""sha1"":""a07c5c3fd16976656d5e962ab41a708a36f001c3"",""upload_date"":""2025-05-14T23:13:20Z"",""commons_categories"":[""Matty Roubert"",""PD-US missing SDC copyright status"",""PD US expired""]}"
11,4,poster,image,https://upload.wikimedia.org/wikipedia/commons/a/a1/Lady_of_Quality_poster.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Lady_of_Quality_poster.jpg/300px-Lady_of_Quality_poster.jpg,,Lady of Quality poster.jpg,Poster for the American drama film A Lady of Quality (1913).,,wikimedia,File:Lady of Quality poster.jpg,https://commons.wikimedia.org/wiki/File:Lady_of_Quality_poster.jpg,public_domain,,Paramount Pictures,Paramount Pictures,,772,1300,508277,image/jpeg,,false,,,999,false,false,2025-06-21 17:30:41.067967+00,2025-06-21 17:30:41.067967+00,"{""sha1"":""272ff9252b207e2db3a154b0b8c6595db9355951"",""upload_date"":""2017-03-26T17:50:02Z"",""commons_categories"":[""1913 film posters of the United States"",""1913 films of the United States"",""A Lady of Quality (1914 film)"",""Cecilia Loftus"",""PD US"",""Paramount Pictures films""]}"
