id,title,author_id,publication_year,genre,plot_summary,literary_significance,created_at,updated_at,attribution_notes
60,Humoresque,25,1919,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
61,Judy of Rogue's Harbor,4,1918,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
62,Calderon's Prisoner,24,1903,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
63,"""Miss Antique""",21,1919,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
64,Tower of Ivory,16,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
65,The Guests of Hercules,7,1912,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
66,The Girl Who Lived in the Woods,29,1910,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
67,The Incubus,29,1915,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
68,The Branding Iron,32,1919,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
69,The Happy Family,33,1910,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
70,The Fighting Sherpherdess,10,1919,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
71,Miss Lulu Bett,34,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
72,Ladies Must Live,24,1917,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
73,Little Lord Fauntleroy,3,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
74,The Charm School,24,1919,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
75,"""Just Around the Corner""",25,1914,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
76,Star-Dust,25,1919,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
77,The Second Latchkey,7,1920,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
78,Mam'selle Jo,8,1918,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
79,Cinderella Jane,29,1917,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
80,Mary Cary,35,1910,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
81,"""Snowblind""",32,1920,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
82,Hungry Hearts,36,1920,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
83,A Woman's Woman,21,1920,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
84,"""The Cynic Effect""",21,1920,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
85,Manslaughter,24,1921,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
86,"""The Good Provider""",25,1914,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
87,"""Back Pay""",25,1922,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
88,A Modern Madonna,37,1906,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
89,"""Beauty's Worth""",38,1920,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
90,"""Singed Wings""",32,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
91,Michael O'Halloran,12,1915,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
92,Long Live the King,6,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
93,The Glimpses of the Moon,22,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
94,Black Oxen,16,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
